trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,13,-44.856015425517796,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,0,-56.771745529382095,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,0,-13.575692477726832,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,0,-54.07123343957082,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",25,0,-81.70620345594412,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,14,-58.11508124146087,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,11,-37.21554345563894,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",30,18,-16.39263745025497,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,13,5.749339982126788,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,6,-18.928026177904353,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",25,0,-129.28708499416757,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,6,-16.846730508355513,"{0: 8, 1: 6, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,0,-103.51772433917968,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",25,15,20.422582421092194,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,0,-75.09726787191626,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",30,10,20.75529026028995,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,6,6.6684863428220496,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,0,-9.957125086914001,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,0,-47.39790260393496,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,0,-58.49985830424887,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,7,8.894066458612272,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,9,-0.008450480118304515,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,0,-38.00591940894951,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.421334222154768}",20,12,7.98053126361163,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",30,0,-27.918068101642326,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",30,0,-66.11930492916805,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,0,-69.85076010244234,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,15,2.0812479789369034,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",25,1,-65.71916930901271,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,12,13.777022561861983,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,0,-48.53422956209613,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",30,12,-10.433164145775258,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",25,2,-93.18948966073664,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 3}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,0,-88.57078340890459,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,11,-8.678828812751583,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,0,3.4372078718816454,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,0,1.5560479404924965,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,0,-58.96001107424592,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",30,16,23.730941093743517,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,9,16.517584384137294,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,0,-75.35474108900546,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,7,18.22503921309874,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,0,17.649189996651295,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",20,0,-46.22335005224328,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,18,5.348926857758819,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,7,-32.06075513438037,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,6,-13.564327719677568,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",35,13,-37.54127775081432,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",30,1,-35.45584781984911,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,0,-35.43964401284465,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,12,6.020155215733552,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",25,0,-87.30848305971044,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,15,9.244902625804722,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,6,4.285380661278775,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",35,12,-15.954584225952251,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",25,8,-56.17673429089149,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",35,1,18.377832442407282,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",30,18,8.240893254733578,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.296386587399208}",20,0,4.7330853166002775,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",25,3,-72.186823865469,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",20,0,1.9053044850664786,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,15,-1.7240955712686326,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",20,4,-56.62103414517927,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,4,-13.652291238413513,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
